"id","Cluster"
56667619,1
56786295,1
56512543,1
56475778,1
56789503,1
56807662,1
56720909,1
56811838,1
56813173,1
56759449,1
56810585,1
56721438,1
56620318,1
56614869,1
56806630,1
56802443,1
56805330,1
56761335,1
56542499,1
56815659,1
56774448,1
56652426,1
56815821,1
56747942,1
56811380,1
56769899,1
56771828,1
56800381,1
56815962,1
56813174,1
56634612,1
56719835,1
56811828,1
56810595,1
56806631,1
56805260,1
56751972,1
56772380,1
56794660,1
56810343,1
56574487,1
56746964,1
56818699,1
56612926,1
56603689,1
56737402,1
56799407,1
56810596,1
56786015,1
56728368,1
56753909,1
56765522,1
56792958,1
56818982,1
56733597,1
56817796,1
56746941,1
56805509,1
56739647,1
56714945,1
56758086,1
56814230,1
56815820,1
56778314,1
56747960,1
56815794,1
56804917,1
56811713,1
56775530,1
56699645,1
56792798,1
56811896,1
56817499,1
56657872,1
56762874,1
56681663,1
56731181,1
56680322,1
56772506,1
56775024,1
56650759,1
56794543,1
56812895,1
56683789,1
56642935,1
56785416,1
56757942,1
56753531,1
56793744,1
56762471,1
56804916,1
56815795,1
56796411,1
56818704,1
56754322,1
56817283,1
56818639,1
56808966,1
56820019,1
56814639,1
56791321,1
56807817,1
56795199,1
56752806,1
56788596,1
56752940,1
56770749,1
56816268,1
56816287,1
56809589,1
56802567,1
56813569,1
56800021,1
56345141,1
56793635,1
56752592,1
56799240,1
56810308,1
56786334,1
56821264,1
56697717,1
56356845,1
56818587,1
56822414,1
56812971,1
56821373,1
56810320,1
56684608,1
56820369,1
56717304,1
56813570,1
56808166,1
56765974,1
56804476,1
56580475,1
56730502,1
56614159,1
56796525,1
56818588,1
56749935,1
56619109,1
56786567,1
56739993,1
56802184,1
56821321,1
56603144,1
56821418,1
56769165,1
56810298,1
56811650,1
56778765,1
56735126,1
56681434,1
56816067,1
56639776,1
56801183,1
56816393,1
56816269,1
56780601,1
56723142,1
56746948,1
56711406,1
56825076,1
56758927,1
56808845,1
56804880,1
56820018,1
56798122,1
56822609,1
56824228,1
56807535,1
56813472,1
56813488,1
56813473,1
56823410,1
56824567,1
56676578,1
56642804,1
56722319,1
56818416,1
56800212,1
56775505,1
56813003,1
56823998,1
56796524,1
56740207,1
56824003,1
56825220,1
56771751,1
56814229,1
56810342,1
56689773,1
56809669,1
56813388,1
56702503,1
56785822,1
56671024,1
56809578,1
56823411,1
56805329,1
56401493,1
56766766,1
56808042,1
56735127,1
56824607,1
56805383,1
56593113,1
56791446,1
56787662,1
56816478,1
56791882,1
56814026,1
56766351,1
56824002,1
56824013,1
56822417,1
56800380,1
56777415,1
56755502,1
56815828,1
56739067,1
56810586,1
56771031,1
56822866,1
56720071,1
56820216,1
56751409,1
56816056,1
56765205,1
56796185,1
56813586,1
56818007,1
56675095,1
56599313,1
56728316,1
56804113,1
56675014,1
56815581,1
56780723,1
56469146,1
56632608,1
56713811,1
56767348,1
56794707,1
56827741,1
56693433,1
56827751,1
56783722,1
56704246,1
56818700,1
56822776,1
56795182,1
56730573,1
56809239,1
56826957,1
56787191,1
56762531,1
56763798,1
56820217,1
56765167,1
56828713,1
56791376,1
56736457,1
56740841,1
56805351,1
56738099,1
56777798,1
56790676,1
56797088,1
56755006,1
56801995,1
56794823,1
56794565,1
56771829,1
56811570,1
56822413,1
56610944,1
56689751,1
56742641,1
56658161,1
56807536,1
56826966,1
56804879,1
56501445,1
56763851,1
56782944,1
56638964,1
56780620,1
56816215,1
56827274,1
56802568,1
56541776,1
56783368,1
56727652,1
56824568,1
56824608,1
56805382,1
56764214,1
56647388,1
56747754,1
56827692,1
56791073,1
56764470,1
56737006,1
56822418,1
56819804,1
56830859,1
56718201,1
56826867,1
56632840,1
56704598,1
56795370,1
56832615,1
56784758,1
56831417,1
56813489,1
56798667,1
56790407,1
56809838,1
56802682,1
56780534,1
56829024,1
56815301,1
56777799,1
56747463,1
56749404,1
56774191,1
56829416,1
56832272,1
56821322,1
56815805,1
56782876,1
56730719,1
56774691,1
56763665,1
56778335,1
56821419,1
56832616,1
56742926,1
56762075,1
56820429,1
56773359,1
56816302,1
56756859,1
56623029,1
56794201,1
56692692,1
56737923,1
56727434,1
56785960,1
56683764,1
56761731,1
56770046,1
56619001,1
56822641,1
56833515,1
56815894,1
56645830,1
56825219,1
56742925,1
56830882,1
56802053,1
56802365,1
56835330,1
56731187,1
56426446,1
56698214,1
56763666,1
56429687,1
56401501,1
56769647,1
56752272,1
56733031,1
56566681,1
56820965,1
56712099,1
56800025,1
56658933,1
56686931,1
56796412,1
56781047,1
56801904,1
56704247,1
56775504,1
56811519,1
56826911,1
56829636,1
56616408,1
56783994,1
56742690,1
56725364,1
56820428,1
56721615,1
56796071,1
56807950,1
56828753,1
56834471,1
56761550,1
56796122,1
56751997,1
56799955,1
56831868,1
56691623,1
56725845,1
56653669,1
56394146,1
56741284,1
56728846,1
56760664,1
56788271,1
56744245,1
56835934,1
56734467,1
56827752,1
56781011,1
56834952,1
56819709,1
56804742,1
56818664,1
56818684,1
56725589,1
56650153,1
56772106,1
56784756,1
56754083,1
56745006,1
56787224,1
56830089,1
56834448,1
56740762,1
56707942,1
56788792,1
56727520,1
56772379,1
56812894,1
56714855,1
56804699,1
56808400,1
56830499,1
56801994,1
56744204,1
56808771,1
56836042,1
56682222,1
56836274,1
56826912,1
56792558,1
56825215,1
56832401,1
56754082,1
56793945,1
56832477,1
56823065,1
56790032,1
56828478,1
56732292,1
56798280,1
56838279,1
56835518,1
56835519,1
56829023,1
56830131,1
56834447,1
56569264,1
56802442,1
56791675,1
56585889,1
56815658,1
56786789,1
56829548,1
56777125,1
56695942,1
56815796,1
56822642,1
56815984,1
56815983,1
56837985,1
56837975,1
56795200,1
56606474,1
56837974,1
56806430,1
56621128,1
56533887,1
56838079,1
56714593,1
56792957,1
56808037,1
56804023,1
56835419,1
56703799,1
56746569,1
56807836,1
56831601,1
56816303,1
56608926,1
56741277,1
56753143,1
56768526,1
56810319,1
56840491,1
56792250,1
56663053,1
56775301,1
56841539,1
56774671,1
56830858,1
56822775,1
56706499,1
56829601,1
56840687,1
56806296,1
56837986,1
56794089,1
56827224,1
56840911,1
56838278,1
56778883,1
56836957,1
56827273,1
56799735,1
56791625,1
56665074,1
56754788,1
56720170,1
56797299,1
56440695,1
56588542,1
56741276,1
56667620,1
56841422,1
56837685,1
56774672,1
56795181,1
56843444,1
56769164,1
56816057,1
56840725,1
56765084,1
56781599,1
56781173,1
56676244,1
56755482,1
56814678,1
56635313,1
56842294,1
56832762,1
56795704,1
56841001,1
56826054,1
56770989,1
56595167,1
56842566,1
56839765,1
56796032,1
56830130,1
56748937,1
56611389,1
56737655,1
56788006,1
56697192,1
56750350,1
56687596,1
56835061,1
56716777,1
56752680,1
56782740,1
56805883,1
56843327,1
56844461,1
56811627,1
56844640,1
56844678,1
56822388,1
56772075,1
56839156,1
56836394,1
56806148,1
56740788,1
56548731,1
56822867,1
56809448,1
56791445,1
56751119,1
56814658,1
56812219,1
56818983,1
56842293,1
56694093,1
56839773,1
56816224,1
56835571,1
56715773,1
56774848,1
56842565,1
56824573,1
56834348,1
56834347,1
56843828,1
56713554,1
56518843,1
56703453,1
56740932,1
56844028,1
56767056,1
56560598,1
56838780,1
56844415,1
56819710,1
56843417,1
56787223,1
56830883,1
56840670,1
56778334,1
56836189,1
56807663,1
56815893,1
56825155,1
56766421,1
56782890,1
56751118,1
56794010,1
56822833,1
56829893,1
56814677,1
56843691,1
56759725,1
56842623,1
56838261,1
56531160,1
56764773,1
56822050,1
56831996,1
56814025,1
56822075,1
56843256,1
56843255,1
56779958,1
56845988,1
56782741,1
56662563,1
56826956,1
56816068,1
56836395,1
56798234,1
56831056,1
56800413,1
56820086,1
56829922,1
56840726,1
56831114,1
56805043,1
56797978,1
56618561,1
56707665,1
56835382,1
56825795,1
56822965,1
56686026,1
56828752,1
56845320,1
56808015,1
56813484,1
56846612,1
56841075,1
56842676,1
56724463,1
56816477,1
56688992,1
56568104,1
56757941,1
56825014,1
56833321,1
56736053,1
56668735,1
56845989,1
56766450,1
56811237,1
56716810,1
56825013,1
56838796,1
56739899,1
56773065,1
56840669,1
56848996,1
56784575,1
56715800,1
56543639,1
56835329,1
56847813,1
56783369,1
56724161,1
56791375,1
56754426,1
56846578,1
56779148,1
56746570,1
56813677,1
56815555,1
56693000,1
56832340,1
56843234,1
56783831,1
56832262,1
56646026,1
56850193,1
56795432,1
56842126,1
56788282,1
56844639,1
56848995,1
56820087,1
56846314,1
56849143,1
56844917,1
56847836,1
56802482,1
56847814,1
56772507,1
56845204,1
56846613,1
56838358,1
56840315,1
56807072,1
56728356,1
56778009,1
56758958,1
56848746,1
56849818,1
56769072,1
56787118,1
56792255,1
56829637,1
56825285,1
56651262,1
56835303,1
56843418,1
56847726,1
56849102,1
56792557,1
56846376,1
56695075,1
56835420,1
56799554,1
56423984,1
56843827,1
56807970,1
56763254,1
56551749,1
56753215,1
56733030,1
56767347,1
56848794,1
56818552,1
56794144,1
56794034,1
56841954,1
56763797,1
56662623,1
56828076,1
56599971,1
56831057,1
56851825,1
56851933,1
56846436,1
56846504,1
56750310,1
56817498,1
56850843,1
56849371,1
56797232,1
56832881,1
56841076,1
56561269,1
56700000,1
56778008,1
56785130,1
56670944,1
56728588,1
56682140,1
56833322,1
56786990,1
56775531,1
56689482,1
56849898,1
56847232,1
56813002,1
56717150,1
